cx: 1065.000000, cx_error: 105.000000, cx_out: 0.210016, cy: 555.000000, cy_error: 15.000000, cy_out: 0.030016, dt: 101.308792, area_speed: -0.255552, area: 677820.000000
cx: 997.000000, cx_error: 37.000000, cx_out: 0.074016, cy: 518.000000, cy_error: -22.000000, cy_out: -0.044016, dt: 98.612671, area_speed: -0.251381, area: 556419.000000
cx: 961.000000, cx_error: 1.000000, cx_out: 0.002016, cy: 511.000000, cy_error: -29.000000, cy_out: -0.058016, dt: 101.400208, area_speed: -0.248728, area: 609633.000000
cx: 949.000000, cx_error: -11.000000, cx_out: -0.022016, cy: 494.000000, cy_error: -46.000000, cy_out: -0.092016, dt: 98.259827, area_speed: -0.248037, area: 577980.000000
cx: 945.000000, cx_error: -15.000000, cx_out: -0.030016, cy: 510.000000, cy_error: -30.000000, cy_out: -0.060016, dt: 100.828186, area_speed: -0.248263, area: 593058.000000
cx: 945.000000, cx_error: -15.000000, cx_out: -0.030016, cy: 500.000000, cy_error: -40.000000, cy_out: -0.080016, dt: 100.553650, area_speed: -0.248821, area: 572688.000000
cx: 940.000000, cx_error: -20.000000, cx_out: -0.040016, cy: 524.000000, cy_error: -16.000000, cy_out: -0.032016, dt: 99.650085, area_speed: -0.249496, area: 592224.000000
cx: 939.000000, cx_error: -21.000000, cx_out: -0.042016, cy: 552.000000, cy_error: 12.000000, cy_out: 0.024016, dt: 100.374817, area_speed: -0.250323, area: 604800.000000
cx: 928.000000, cx_error: -32.000000, cx_out: -0.063984, cy: 558.000000, cy_error: 18.000000, cy_out: 0.035984, dt: -899.993347, area_speed: -0.251309, area: 604206.000000
cx: 934.000000, cx_error: -26.000000, cx_out: -0.052016, cy: 561.000000, cy_error: 21.000000, cy_out: 0.042016, dt: 100.101616, area_speed: -0.252853, area: 610839.000000
cx: 937.000000, cx_error: -23.000000, cx_out: -0.046016, cy: 558.000000, cy_error: 18.000000, cy_out: 0.036016, dt: 99.735336, area_speed: -0.254354, area: 618744.000000
cx: 948.000000, cx_error: -12.000000, cx_out: -0.024016, cy: 553.000000, cy_error: 13.000000, cy_out: 0.026016, dt: 100.149231, area_speed: -0.255764, area: 624852.000000
cx: 955.000000, cx_error: -5.000000, cx_out: -0.010016, cy: 554.000000, cy_error: 14.000000, cy_out: 0.028016, dt: 100.177246, area_speed: -0.256896, area: 644556.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.008016, cy: 555.000000, cy_error: 15.000000, cy_out: 0.030016, dt: 100.258270, area_speed: -0.257755, area: 655155.000000
cx: 970.000000, cx_error: 10.000000, cx_out: 0.020016, cy: 552.000000, cy_error: 12.000000, cy_out: 0.024016, dt: 99.289490, area_speed: -0.258339, area: 663282.000000
cx: 976.000000, cx_error: 16.000000, cx_out: 0.032016, cy: 553.000000, cy_error: 13.000000, cy_out: 0.026016, dt: 100.725403, area_speed: -0.258544, area: 678342.000000
cx: 978.000000, cx_error: 18.000000, cx_out: 0.036016, cy: 549.000000, cy_error: 9.000000, cy_out: 0.018016, dt: 100.250671, area_speed: -0.258322, area: 698634.000000
cx: 978.000000, cx_error: 18.000000, cx_out: 0.036016, cy: 542.000000, cy_error: 2.000000, cy_out: 0.004016, dt: 98.976685, area_speed: -0.257824, area: 715008.000000
cx: 979.000000, cx_error: 19.000000, cx_out: 0.037984, cy: 545.000000, cy_error: 5.000000, cy_out: 0.009984, dt: -900.904358, area_speed: -0.257076, area: 701454.000000
cx: 978.000000, cx_error: 18.000000, cx_out: 0.036016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 100.228508, area_speed: -0.255911, area: 713286.000000
cx: 973.000000, cx_error: 13.000000, cx_out: 0.026016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 100.823288, area_speed: -0.254843, area: 683091.000000
cx: 957.000000, cx_error: -3.000000, cx_out: -0.006016, cy: 542.000000, cy_error: 2.000000, cy_out: 0.004016, dt: 100.876038, area_speed: -0.253644, area: 683088.000000
cx: 942.000000, cx_error: -18.000000, cx_out: -0.036016, cy: 535.000000, cy_error: -5.000000, cy_out: -0.010016, dt: 99.039734, area_speed: -0.252586, area: 734850.000000
cx: 973.000000, cx_error: 13.000000, cx_out: 0.026016, cy: 537.000000, cy_error: -3.000000, cy_out: -0.006016, dt: 98.761566, area_speed: -0.252161, area: 800784.000000
cx: 1012.000000, cx_error: 52.000000, cx_out: 0.104016, cy: 542.000000, cy_error: 2.000000, cy_out: 0.004016, dt: 101.488342, area_speed: -0.251071, area: 836244.000000
cx: 1026.000000, cx_error: 66.000000, cx_out: 0.132016, cy: 551.000000, cy_error: 11.000000, cy_out: 0.022016, dt: 100.274048, area_speed: -0.249231, area: 801024.000000
cx: 1029.000000, cx_error: 69.000000, cx_out: 0.138016, cy: 552.000000, cy_error: 12.000000, cy_out: 0.024016, dt: 99.775452, area_speed: -0.246422, area: 789264.000000
cx: 1023.000000, cx_error: 63.000000, cx_out: 0.126016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 99.658752, area_speed: -0.243799, area: 786900.000000
cx: 1024.000000, cx_error: 64.000000, cx_out: 0.127984, cy: 540.000000, cy_error: 0.000000, cy_out: -0.000016, dt: -899.721497, area_speed: -0.241193, area: 777225.000000
cx: 1012.000000, cx_error: 52.000000, cx_out: 0.104016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 99.518959, area_speed: -0.238572, area: 765039.000000
cx: 988.000000, cx_error: 28.000000, cx_out: 0.056016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 100.567993, area_speed: -0.236787, area: 788655.000000
cx: 957.000000, cx_error: -3.000000, cx_out: -0.006016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 98.561920, area_speed: -0.235298, area: 844272.000000
cx: 930.000000, cx_error: -30.000000, cx_out: -0.060016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 101.163971, area_speed: 0.078328, area: 901320.000000
cx: 934.000000, cx_error: -26.000000, cx_out: -0.052016, cy: 540.000000, cy_error: 0.000000, cy_out: -0.000016, dt: 98.517090, area_speed: -0.235425, area: 857871.000000
cx: 930.000000, cx_error: -30.000000, cx_out: -0.060016, cy: 541.000000, cy_error: 1.000000, cy_out: 0.002016, dt: 101.758728, area_speed: 0.078661, area: 869130.000000
cx: 901.000000, cx_error: -59.000000, cx_out: -0.118016, cy: 544.000000, cy_error: 4.000000, cy_out: 0.008016, dt: 99.996460, area_speed: 0.079541, area: 877968.000000
cx: 865.000000, cx_error: -95.000000, cx_out: -0.190016, cy: 544.000000, cy_error: 4.000000, cy_out: 0.008016, dt: 100.037048, area_speed: 0.080027, area: 887508.000000
cx: 858.000000, cx_error: -102.000000, cx_out: -0.204016, cy: 541.000000, cy_error: 1.000000, cy_out: 0.002016, dt: 98.869629, area_speed: 0.080834, area: 878832.000000
cx: 877.000000, cx_error: -83.000000, cx_out: -0.165984, cy: 541.000000, cy_error: 1.000000, cy_out: 0.001984, dt: -900.136597, area_speed: -0.245438, area: 849753.000000
cx: 922.000000, cx_error: -38.000000, cx_out: -0.076016, cy: 542.000000, cy_error: 2.000000, cy_out: 0.004016, dt: 101.275505, area_speed: -0.247802, area: 815925.000000
cx: 966.000000, cx_error: 6.000000, cx_out: 0.012016, cy: 534.000000, cy_error: -6.000000, cy_out: -0.012016, dt: 99.871368, area_speed: -0.248936, area: 833040.000000
cx: 996.000000, cx_error: 36.000000, cx_out: 0.072016, cy: 513.000000, cy_error: -27.000000, cy_out: -0.054016, dt: 99.078064, area_speed: -0.248532, area: 819546.000000
cx: 1020.000000, cx_error: 60.000000, cx_out: 0.120016, cy: 510.000000, cy_error: -30.000000, cy_out: -0.060016, dt: 101.546143, area_speed: -0.247149, area: 856800.000000
cx: 1018.000000, cx_error: 58.000000, cx_out: 0.116016, cy: 522.000000, cy_error: -18.000000, cy_out: -0.036016, dt: 98.356171, area_speed: -0.244385, area: 861300.000000
cx: 1059.000000, cx_error: 99.000000, cx_out: 0.198016, cy: 529.000000, cy_error: -11.000000, cy_out: -0.022016, dt: 101.679443, area_speed: 0.080567, area: 966654.000000
cx: 1012.000000, cx_error: 52.000000, cx_out: 0.104016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 98.145630, area_speed: -0.237796, area: 857871.000000
cx: 1012.000000, cx_error: 52.000000, cx_out: 0.104016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 99.771118, area_speed: 0.078214, area: 907068.000000
cx: 1030.000000, cx_error: 70.000000, cx_out: 0.140016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 100.952820, area_speed: 0.077383, area: 925575.000000
cx: 1041.000000, cx_error: 81.000000, cx_out: 0.161984, cy: 539.000000, cy_error: -1.000000, cy_out: -0.001984, dt: -900.056091, area_speed: 0.076447, area: 936990.000000
cx: 1054.000000, cx_error: 94.000000, cx_out: 0.188016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 98.604042, area_speed: 0.075386, area: 946683.000000
cx: 1072.000000, cx_error: 112.000000, cx_out: 0.224016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 100.599274, area_speed: 0.074181, area: 952260.000000
cx: 1098.000000, cx_error: 138.000000, cx_out: 0.276016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 100.004272, area_speed: 0.072854, area: 912834.000000
cx: 1098.000000, cx_error: 138.000000, cx_out: 0.276016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 101.302917, area_speed: 0.071269, area: 907200.000000
cx: 1551.000000, cx_error: 591.000000, cx_out: 1.182016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 100.095703, area_speed: -0.225871, area: 776820.000000
cx: 1512.000000, cx_error: 552.000000, cx_out: 1.103984, cy: 541.000000, cy_error: 1.000000, cy_out: 0.001984, dt: -900.802063, area_speed: 0.069594, area: 869130.000000
cx: 1275.000000, cx_error: 315.000000, cx_out: 0.630016, cy: 762.000000, cy_error: 222.000000, cy_out: 0.444016, dt: 100.024040, area_speed: -0.183998, area: 798846.000000
cx: 897.000000, cx_error: -63.000000, cx_out: -0.126016, cy: 547.000000, cy_error: 7.000000, cy_out: 0.014016, dt: 100.376846, area_speed: 0.055479, area: 1650564.000000
cx: 544.000000, cx_error: -416.000000, cx_out: -0.832016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 99.870361, area_speed: 0.053542, area: 1096914.000000
cx: 448.000000, cx_error: -512.000000, cx_out: -1.024016, cy: 525.000000, cy_error: -15.000000, cy_out: -0.030016, dt: 100.838806, area_speed: 0.057152, area: 942747.000000
cx: 406.000000, cx_error: -554.000000, cx_out: -1.108016, cy: 528.000000, cy_error: -12.000000, cy_out: -0.024016, dt: 98.215088, area_speed: -0.193210, area: 850398.000000
cx: 414.000000, cx_error: -546.000000, cx_out: -1.092016, cy: 518.000000, cy_error: -22.000000, cy_out: -0.044016, dt: 100.209656, area_speed: -0.215789, area: 851592.000000
cx: 454.000000, cx_error: -506.000000, cx_out: -1.012016, cy: 520.000000, cy_error: -20.000000, cy_out: -0.040016, dt: 99.937561, area_speed: 0.077999, area: 946269.000000
cx: 802.000000, cx_error: -158.000000, cx_out: -0.315984, cy: 607.000000, cy_error: 67.000000, cy_out: 0.133984, dt: -900.126831, area_speed: 0.086055, area: 1499070.000000
cx: 819.000000, cx_error: -141.000000, cx_out: -0.282016, cy: 581.000000, cy_error: 41.000000, cy_out: 0.082016, dt: 100.564453, area_speed: 0.086901, area: 1574232.000000
cx: 589.000000, cx_error: -371.000000, cx_out: -0.742016, cy: 535.000000, cy_error: -5.000000, cy_out: -0.010016, dt: 99.688995, area_speed: 0.088076, area: 1089207.000000
cx: 840.000000, cx_error: -120.000000, cx_out: -0.240016, cy: 555.000000, cy_error: 15.000000, cy_out: 0.030016, dt: 100.468079, area_speed: 0.090608, area: 1536150.000000
cx: 897.000000, cx_error: -63.000000, cx_out: -0.126016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 98.424530, area_speed: 0.091936, area: 1241856.000000
cx: 901.000000, cx_error: -59.000000, cx_out: -0.118016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 101.349823, area_speed: 0.092408, area: 1112625.000000
cx: 961.000000, cx_error: 1.000000, cx_out: 0.002016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 99.612793, area_speed: 0.092608, area: 1114695.000000
cx: 996.000000, cx_error: 36.000000, cx_out: 0.072016, cy: 537.000000, cy_error: -3.000000, cy_out: -0.006016, dt: 99.934326, area_speed: 0.092525, area: 1153476.000000
cx: 910.000000, cx_error: -50.000000, cx_out: -0.100016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 100.144409, area_speed: 0.092063, area: 1355046.000000
